[]
"['U72900KA2021PTC144214', 'HUMMINGSTONE SOLUTIONS PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2020PTC141830', 'STABLEOMEGA TECHNOLOGY PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2017PTC106724', 'SCHRILL CONSULTING SERVICES INDIA PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2017PTC108616', 'GRC STACK PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72200KA1994PTC015509', 'AI SOFT TECHNOLOGIES PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2019PTC126187', 'DREAMTANK SOLUTIONS PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2022PTC166405', 'ENGAIZ GRC SOLUTIONS PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2019PTC124445', 'APESTUFF E-COMMERCE PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2022PTC169349', 'ENSSO SYSTEM PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2020PTC140355', 'APPSISTEM TECH PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2020PTC135808', 'CREW28 GAMES PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2020PTC142049', 'CLOUD FORCE INTERNATIONAL PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2019PTC130409', 'INFINATIONS PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2020PTC140073', 'WIBWIN TECHNOLOGY PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72500KA2020PTC131512', 'BITS AND BYTE COMMUNICATIONS PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72200KA2021PTC145553', 'EI DIGITAL PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2021PTC153381', 'CIZEL TECHNOLOGIES PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72200KA2004PTC034536', 'ALTIVO INFORMATION TECHNOLOGIES PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2022PTC157961', 'CENTAURI MONTES PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2022PTC164465', 'COGNISAAS INDIA PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2021PTC145396', 'VERIMO SOFTWARE TECHNOLOGIES PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2019PTC120768', 'TAMARAILOTUS DYNAMICS INDIA PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2021PTC149545', 'FOUR WINGS IT PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2016PTC098667', 'TRUEFY TECHNOLOGIES PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2019PTC131140', 'WILSON WINGS PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2019PTC123175', 'VIASPELLER SOLUTIONS PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2021PTC148967', 'BARBRA E-COMMERCE PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2022PTC158248', 'GROWING COMBINATIONS TECHNOLOGIES PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72200KA2012PTC062148', 'BEAHEAD PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72501KA2017PTC107058', 'GOEXITOS SOLUTIONS PRIVATE LIMITED', 'Bangalore', 'Active']"
[]
"['U72200KA2008PTC045535', 'INAT TECHNOLOGIES PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2020PTC139401', 'ONE MORE LIGHT AI PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2021PTC155811', 'DCMSIGN SOLUTIONS PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2021PTC153705', 'TWEDLEO PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2019PTC130814', 'WEWEB TECHNOLOGIES PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2022PTC163483', 'AMPLE SEMICONDUCTORS PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72400KA2021PTC147496', 'SAAS PROCESSES PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72200KA2003PTC032530', 'TESCO BENGALURU PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72200KA1987PTC008248', 'INTELSOFT PRIVATE LIMITED,', 'Bangalore', 'Active']"
"['U72900KA2016PTC098121', 'SM INFINITE TECHNOLOGIES PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2019PTC123349', 'APLUS EDUCATION AND COMPUTER SERVICES PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2018PTC119359', 'ANONETSOL SERVICES PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72200KA2010PTC054557', 'CEPTES SOFTWARE PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72200KA2022PTC167133', 'OUTRICK SOFTWARE SOLUTIONS PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2018PTC112271', 'ZOOMRIVER TECHNOLOGIES PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72200KA2013PTC070647', 'METRICSPACE TECHNOLOGIES PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2022PTC164280', 'POLLOXI SOFTWARE PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2020PTC136767', 'FORWARD VISION PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2020PTC135636', 'TOPSCOUT DIGITAL PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2019PTC131013', 'TEKSARA SOFTWARE SOLUTIONS PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2019PTC120383', 'ADIWEALTH TECH PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2022PTC168286', 'AYANSHALA TECHNOLOGIES PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2018PTC119639', 'BOUNDLESS IOT LABS PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72200KA2015PTC080266', 'WIPRO OVERSEAS IT SERVICES PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72300KA2013PTC068043', 'HUMAN FACTORS RESEARCH & DESIGN PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2017PTC099356', 'HANKER SYSTEMS BANGALORE PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72200KA2010PTC053363', 'NETWORK LABS (INDIA) PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2022PTC165944', 'SALUS DIGITAL CAPABILITIES PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2018PTC119669', 'STRAWBERRYBOX MEDIA PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2018PTC117168', 'CABALO LABS PRIVATE LIMITED', 'Bangalore', 'Active']"
[]
"['U72900KA2020PTC131580', 'VOICEBACK ANALYTICS PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2020PTC138995', 'SOFTMACH TECHNO PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2000PTC027970', 'BRANDWIDTH TECHNOLOGIES PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2019PTC129599', 'ORANGEJOBZ PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72300KA2015PTC078768', 'IFOMET TECH SOLUTIONS PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2015PTC083110', 'SYMBIONT INFORMATION TECHNOLOGIES PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2020PTC141080', 'FLEXBEES INDIA TECHNOLOGY PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72200KA2006PTC038172', 'OPEN 2 ALL SYSTEMS (BANGALORE) PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72200KA2000PTC032301', 'NETAPP INDIA PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2020PTC140217', 'LEGAL LION SOFTECH PRIVATE LIMITED', 'Bangalore', 'Active']"
