[]
"['U72200TG2000PTC033651', 'SUSRUTHA SUPERSOFTS PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72100TG2005PTC047157', 'SAAKHIL TECHNOLOGIES PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2020PTC146121', 'KALGUDI DIGITAL PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72200TG1986PTC006433', 'METAWYN SYSTEMS PRIVATE LIMITED.', 'Hyderabad', 'Active']"
"['U72900TG2020PTC144532', 'ATOMSTATE TECHNOLOGIES PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72200TG1999PTC032514', 'SUVISHAL SOFTWARE SYSTEMS PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72200TG2000PTC034399', 'MANHAR SOLUTIONS PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2019PTC131647', 'QOCEPT ENGINEERING PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2018PTC121688', 'ACCROSIAN SOFT SOLUTION PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2020PTC138762', 'NESTACK TECHNOLOGIES PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2016PTC102533', 'ANANTHA LAXMI INNOVATIVE MICRO SOLUTIONS PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72501TG2019PTC136329', 'GVR INNOVATIVE TECHNOLOGIES PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2019PTC134091', 'ASPECTO TECHNOLOGIES PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72200TG2016PTC110886', 'ISWITCH SOLUTIONS PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2019PTC134463', 'ITINSIGHTPRO TECHNOLOGIES PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72200TG2022PTC166292', 'VIBA PURSUITS PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2019PTC134908', 'DIGITAL PRO BUSINESS SERVICES PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2021PTC158305', 'SANGHI INFO TECH PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2021PTC148444', 'AICANC PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2021PTC149658', 'TECHIMPERIUM CONSULTING SERVICES PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2020PTC145212', 'BURRA INFOTECH PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2021PTC148616', 'HAYSTEK TECHNOLOGIES PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2021PTC149913', 'RVF SOLUTIONS PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2019PTC135402', 'HUNTMETRICS PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2021PTC155639', 'POLLARD IT SOLUTIONS PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2022PTC166809', 'SOFTVEER TECHNOLOGIES PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72400TG2014PTC095856', 'N M INFORMATICS PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72200TG2020PTC140990', 'KONAP TECH SOLUTIONS PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2018PTC125572', 'INVENTIVE CORE INTEGRATIONS PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72200TG2000PTC035490', 'UNIGLOW INFOTECH PRIVATE LIMITED', 'Hyderabad', 'Active']"
[]
"['U72300TG2011PTC076875', 'SYSCON LABS PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72200TG2010PTC070791', 'SOFTAPT SOFTWARE AND CONSULTING PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72200TG2014PTC093508', 'AR SOFTCON PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72400TG2005PTC045415', 'ORIGIN GLOBAL SERVICES PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72200TG2013PTC089376', 'CEDAR INFORMATION TECHNOLOGY PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72200TG2012PTC081659', 'CYNOSURE SOFTWARE SOLUTIONS PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2021PTC147455', 'BITSBHARATIT SERVICES PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2021PTC149304', 'SUGATI TECH SOLUTIONS PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2022PTC168697', 'MANYA IT SOLUTIONS PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72300TG2012PTC083627', 'FREAQUER CORPORATION PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72200TG2022PTC168831', 'SAADRUSO INTERNET MEDIA PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2022PTC164339', 'CURIS COMMUNICATIONS PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72200TG1999PTC033129', 'PAROMA NETCOM PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72909TG2021PTC150030', 'ENVISAGE INTEGRATED SOLUTIONS PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2022PTC165212', 'INTELLISOFT SYSTEMS PRIVATE LIMITED', 'Hyderabad', 'Active']"
