[]
"['U72200MH1991PTC061192', 'HALWARD ENGINEERS PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2020PTC195011', 'ONEALLIANCE INFOSERVE PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2019PTC186895', 'INNOVATIVE ERA TECHNOLOGIES PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2011PTC138742', 'ESHAN COMPUTECH PRIVATE LIMITED', 'Pune', 'Active']"
"['U72200PN2020PTC194219', 'CODEDYNAMIS TECHNOLOGIES PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2021PTC205222', 'COMPUTER GARAGE SOLUTIONS PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2013PTC146928', 'SAMSOH SOFTWARE TECHNOLOGIES PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2021PTC203407', 'YANTRIX TECHNOLOGIES PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2019PTC183559', 'TECHLANCER LAB PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2023PTC217505', 'SETLERZ IT SOLUTIONS PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2018PTC178422', 'SPOORTHY BUSINESS AND SERVICES PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2018PTC175682', 'ARMOR CYBER SECURITIES PRIVATE LIMITED', 'Pune', 'Active']"
"['U72500PN2017PTC171275', 'SCOREGRAPH MEDIA AND IT SERVICES PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2023PTC218062', 'MEDILINK HEALTHTECH PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2022PTC212840', 'VIKRAYAH INFOTECH PRIVATE LIMITED', 'Pune', 'Active']"
"['U72400PN2021PTC197537', 'DATA INNOVATION TECHNOLOGY SERVICES PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2022PTC212773', 'ETAMAX TECHNOLOGIES PRIVATE LIMITED', 'Pune', 'Active']"
"['U72200PN2000PTC014715', 'PROCYON ENGINEERING PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2022PTC213914', 'ACCENSIBLE SOLUTIONS PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2016PTC166150', 'PRACTICELEAGUE LEGALTECH PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2018PTC178428', 'AVIDONSENOR TECHNOLOGY PRIVATE LIMITED', 'Pune', 'Active']"
"['U72200PN2014PTC151640', 'ESSENSYS SOFTWARE PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2019PTC188612', 'LEAPFORTH SOLUTIONS PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2020PTC194599', 'TEXTON IT PARK PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2022PTC216020', 'FITKONNECT SOFTWARE SERVICES PRIVATE LIMITED', 'Pune', 'Active']"
"['U72200PN2023PTC217587', 'AYASKANTA ANALYTICS PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2017PTC171483', 'ALTICOR MEDIA SOLUTIONS PRIVATE LIMITED', 'Pune', 'Active']"
"['U72200PN2022PTC212580', '4.0SMART INDUSTRY ADVISORY SOLUTION PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN1998PTC012647', 'ITS CYBERTECH (INDIA) PRIVATE LIMITED.', 'Pune', 'Active']"
"['U72900PN2020PTC192233', 'TURNERA TECH PRIVATE LIMITED', 'Pune', 'Active']"
[]
"['U72200PN2022PTC208897', 'STACK CONSOLE CLOUD SOLUTIONS PRIVATE LIMITED', 'Pune', 'Active']"
"['U72200PN2021PTC199197', 'ACTIVATE THOUGHTS MEDIA PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2021PTC205502', 'SENJOY PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2021PTC198813', 'SAZE ABSOLUTE PRIVATE LIMITED', 'Pune', 'Active']"
"['U72200PN2001PTC014668', 'ABWEB INFOTECH PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2014PTC152460', 'INNOBLISS SOLUTIONS PRIVATE LIMITED', 'Pune', 'Active']"
"['U72200PN2018PTC177250', 'LEADLEAP INFOTECH PRIVATE LIMITED', 'Pune', 'Active']"
"['U72200PN2022PTC214626', 'GUJARATHI EMPIRE INFOTECH PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2022PTC207954', 'MANOWEG IOT SOLUTIONS PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2021PTC205389', 'HOMEHUSTLE TECHNOLOGIES PRIVATE LIMITED', 'Pune', 'Active']"
"['U72200PN1997PTC110760', 'TRIPMEDIA PRIVATE LIMITED', 'Pune', 'Active']"
"['U72200PN1997PTC106655', 'RADIX DIES & MOULDS PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2015PTC154765', 'V NET NETWORKS PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2020PTC194408', 'METATRONIX TECHNOLOGIES PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2021PTC201418', 'FUNDFLO TECHNOLOGIES PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2016PTC165537', 'CURLY BRACKETS SYSTEMS PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2021PTC204529', 'IROCK PROPERTIES PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2022PTC208374', 'SHREYKARTI TECHNOMECH PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2020PTC194608', 'OH TERI GAMING PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2022PTC208375', 'SHREYKARTI TECHNOLOGIES PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2017PTC170326', 'RIYA LEARNING SOLUTIONS PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2005PTC021202', 'LINOSYS SOLUTIONS PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2021PTC198285', 'KAIRTECH IT SERVICES PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2019PTC185991', 'SOFTRONIX INFOTECH PRIVATE LIMITED', 'Pune', 'Active']"
"['U72200PN2020PTC193318', 'CYRONICS INNOVATION LABS PRIVATE LIMITED', 'Pune', 'Active']"
"['U72200PN2005PTC020916', 'CADSOFT DESIGNS PRIVATE LIMITED', 'Pune', 'Active']"
"['U72200PN2015PTC153646', 'AETON SYSTEMS INDIA PRIVATE LIMITED', 'Pune', 'Active']"
