[]
"['U72200WB2006PTC108998', 'BHAGWANDAS VEHICLE TEST SERVICES PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2022PTC259248', 'OMNI MANUAL PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2018PTC229460', 'RADHE RADHE SOFTWARE PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72200WB2012PTC174112', 'SHIVRATRI TECHNOLOGIES PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2021PTC243377', 'DIGICHAL CONSULTANCY PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2022PTC256791', 'PAPIRIKO CREATIVE SOLUTIONS PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2017PTC220104', 'ENVERTIS INFOSOFT PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2019PTC230929', 'COGNISOFT TECHNOLOGIES PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2018PTC225874', 'SAHANI SYSTEM & SOLUTIONS PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72200WB2005PTC204769', 'EMBEDDED INFOSOFT (INDIA) PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2022PTC257555', 'TAKE CARE WORLDWIDE SERVICES & TECHNOLOGY PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2020PTC238893', 'ADSERVE CONSULTANCY PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2020PTC240856', 'TWECKER SALES PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2022PTC259390', 'ALDISERV PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2020PTC239274', 'ARTISTS INTEGRATED BUSINESS PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2022PTC255201', 'SHIPPMO TECHNOLOGIES PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2019PTC233413', 'SMILE TOONS PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72200WB2012PTC179241', 'RITUDHARA COMPUTECH PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2018PTC229504', 'ELZEVEN TECHNOLOGIES PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2021PTC245841', 'ABHIGAMYAH SALES PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2020PTC239877', 'RIVIGO GLOBAL TECHNOLOGIES PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2018PTC226219', 'FANTASY KHELO KIRKET PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2022PTC250895', 'POONNING TRADERS PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2021PTC245100', '247 LIVE IT PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72300WB2014PTC204495', 'EXCELLIGENT INFOTECH PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72200WB2012PTC176105', 'I-MART TECHNOLOGIES PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2022PTC250894', 'IROEENS ENTERPRISE PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2020PTC238791', 'WINON11 STRATEGIC GAMES PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72300WB2016PTC209200', 'FIRDEKHO E-COMMERCE PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72300WB2012PTC188944', 'PHOBOS COMPUTERS PRIVATE LIMITED', 'Kolkata', 'Active']"
[]
"['U72900WB2022PTC250899', 'UNHACK MERCHANTS PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72300WB2013PTC191995', 'THYONE IMAGE & GRAPHICS PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2022PTC252327', 'AIM TECHNOSOFT INDIA PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72200WB2011PTC167955', 'WL DIGITAL MARKETING PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2020PTC240515', 'SINERGICO CONSULTANCY PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72200WB2006PTC108253', 'EVERLIKE INFOTECH PVT. LTD.', 'Kolkata', 'Active']"
"['U72200WB2019PTC234027', 'APARESH COMPUVISION PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2008PTC130739', 'PHARMAGRID TECHNICAL SERVICES PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2000PTC091227', 'SHAMBHURESHWAR VINCOM PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72300WB2012PTC188710', 'ZELTA SOLUTIONS PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2021PTC245092', 'LOUERS DEALERS PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2021PTC245843', 'SURADHYAKSH ENTERPRISES PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2009PTC136598', 'ADHUNIK COMPUTER MARKETING PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72200WB2022PTC257756', 'SOLID DATA TECHNOLOGY PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2022PTC256303', 'INNOVACIO TECHNOLOGIES PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2022PTC256332', 'BELZEB PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2021PTC244562', 'GHN UNIVERSAL SOLUTIONS PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2021PTC245090', 'FROPED SALES PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2021PTC245097', 'MISHERS VYAPAAR PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2017PTC223391', 'CELESO SYSTEMS PRIVATE LIMITED', 'Kolkata', 'Active']"
